,tconst,all_all_ratings,all_all_v_counts,all_males_ratings,all_males_v_counts,all_females_ratings,all_females_v_counts,under_18_all_ratings,under_18_all_v_counts,under_18_males_ratings,under_18_males_v_counts,under_18_females_ratings,under_18_females_v_counts,f18_29_all_ratings,f18_29_all_v_counts,f18_29_males_ratings,f18_29_males_v_counts,f18_29_females_ratings,f18_29_females_v_counts,f30_44_all_ratings,f30_44_all_v_counts,f30_44_males_ratings,f30_44_males_v_counts,f30_44_females_ratings,f30_44_females_v_counts,f45_all_ratings,f45_all_v_counts,f45_males_ratings,f45_males_v_counts,f45_females_ratings,f45_females_v_counts
10,tt0337631,6.5,1474.0,6.5,885.0,6.6,279.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,20.0,6.3,17.0,6.7,3.0,6.3,390.0,6.3,252.0,6.3,133.0,6.7,741.0,6.6,592.0,6.8,140.0
11,tt0338309,7.7,39735.0,7.7,26542.0,7.8,5376.0,7.6,6.0,7.5,2.0,8.0,4.0,7.8,3614.0,7.8,2658.0,7.8,860.0,7.8,21909.0,7.8,18073.0,7.8,3598.0,7.7,5804.0,7.6,5009.0,7.9,725.0
12,tt0362227,7.4,467879.0,7.3,278424.0,7.4,66183.0,7.6,148.0,7.7,124.0,6.3,17.0,7.6,51426.0,7.6,38853.0,7.7,10825.0,7.4,226246.0,7.4,180069.0,7.3,43157.0,7.0,52010.0,7.0,42854.0,7.1,8227.0
13,tt0383717,6.6,1604.0,6.5,887.0,6.8,411.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,36.0,6.6,21.0,6.2,14.0,6.4,536.0,6.3,313.0,6.7,216.0,6.8,722.0,6.7,535.0,7.0,174.0
14,tt0384116,8.0,64050.0,7.9,39164.0,7.8,5353.0,7.2,23.0,8.1,17.0,7.0,4.0,8.5,11449.0,8.5,9685.0,8.3,1535.0,7.8,26152.0,7.8,22852.0,7.5,2920.0,6.7,3653.0,6.7,3168.0,7.4,429.0
15,tt0385705,6.8,31279.0,6.8,23522.0,6.8,1315.0,7.0,1.0,0.0,0.0,0.0,0.0,6.7,1950.0,6.7,1801.0,6.7,96.0,6.8,18038.0,6.8,16947.0,6.8,930.0,6.6,4165.0,6.6,3873.0,6.6,234.0
16,tt0387412,7.5,19614.0,7.5,14274.0,7.5,1187.0,8.0,2.0,8.0,1.0,0.0,0.0,7.7,1109.0,7.6,981.0,7.7,104.0,7.5,10165.0,7.5,9372.0,7.5,699.0,7.3,3766.0,7.4,3373.0,7.3,334.0
17,tt0400063,7.8,5739.0,7.7,3553.0,8.1,969.0,6.0,1.0,0.0,0.0,6.0,1.0,7.6,244.0,7.4,162.0,8.1,72.0,7.8,2656.0,7.8,2068.0,8.0,562.0,7.7,1525.0,7.7,1218.0,8.2,288.0
18,tt0405629,6.9,2902.0,6.9,2094.0,6.9,317.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,7.0,53.0,6.9,8.0,7.1,1386.0,7.1,1172.0,7.0,196.0,6.8,955.0,6.7,832.0,6.9,106.0
19,tt0419641,6.1,2139.0,6.0,1210.0,6.4,607.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,65.0,6.2,26.0,5.9,36.0,6.1,978.0,6.0,588.0,6.4,375.0,6.2,748.0,6.1,562.0,6.5,172.0
20,tt0429068,6.4,1316.0,6.1,804.0,7.1,250.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,57.0,5.9,42.0,6.6,15.0,6.3,524.0,6.2,415.0,6.9,104.0,6.3,461.0,6.1,333.0,7.4,123.0
21,tt0439654,6.3,1693.0,6.3,1155.0,6.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,101.0,6.4,70.0,6.5,31.0,6.4,831.0,6.5,715.0,6.1,105.0,6.1,383.0,6.1,337.0,5.4,37.0
22,tt0446059,7.6,76960.0,7.6,58679.0,7.5,4306.0,6.6,5.0,7.0,4.0,8.0,1.0,7.7,4405.0,7.7,4015.0,7.7,305.0,7.6,45220.0,7.6,42054.0,7.5,2763.0,7.3,11752.0,7.3,10518.0,7.5,1067.0
23,tt0449159,7.2,1048.0,7.1,651.0,7.5,205.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,50.0,7.3,39.0,8.1,11.0,7.1,611.0,7.1,477.0,7.4,128.0,7.1,179.0,6.7,122.0,7.5,54.0
24,tt0460829,6.8,58931.0,6.7,40201.0,6.7,6042.0,8.2,21.0,8.2,16.0,8.1,5.0,7.3,4143.0,7.3,3391.0,7.1,649.0,6.8,29980.0,6.8,25754.0,6.7,3884.0,6.3,11165.0,6.3,9714.0,6.4,1292.0
25,tt0484039,6.4,1554.0,6.3,1075.0,6.6,228.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,74.0,6.4,44.0,6.8,27.0,6.5,745.0,6.5,579.0,6.4,155.0,6.3,475.0,6.2,425.0,6.8,45.0
26,tt0493949,6.5,19285.0,6.4,6922.0,6.7,7592.0,6.6,7.0,6.5,4.0,5.5,3.0,6.5,3919.0,6.2,1086.0,6.6,2741.0,6.6,7593.0,6.4,3855.0,6.7,3641.0,6.5,2403.0,6.4,1674.0,6.9,690.0
27,tt0765447,6.4,13784.0,6.2,6000.0,6.7,5543.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,460.0,6.0,149.0,6.6,295.0,6.4,6966.0,6.2,3223.0,6.7,3663.0,6.4,3994.0,6.2,2511.0,6.8,1417.0
28,tt0775417,6.9,1101.0,6.8,764.0,6.9,171.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,20.0,4.7,10.0,7.0,10.0,6.9,542.0,6.9,426.0,6.6,105.0,6.9,367.0,6.8,312.0,7.3,53.0
29,tt0778749,6.9,1342.0,6.9,754.0,7.1,292.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,67.0,6.7,29.0,6.8,32.0,6.9,709.0,6.8,489.0,7.1,209.0,7.0,234.0,7.0,193.0,7.0,39.0
30,tt0781435,6.5,1431.0,6.5,952.0,6.1,246.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,24.0,7.2,18.0,5.7,5.0,6.8,526.0,6.9,414.0,6.1,106.0,6.1,645.0,6.2,507.0,6.0,133.0
31,tt0808306,6.1,2745.0,6.0,1894.0,6.6,297.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,233.0,5.9,197.0,6.5,31.0,6.1,1640.0,6.0,1451.0,6.6,180.0,6.2,234.0,6.0,178.0,7.0,54.0
32,tt0821442,7.3,8931.0,7.3,6465.0,7.1,557.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,699.0,7.4,603.0,7.0,77.0,7.4,4924.0,7.4,4539.0,7.1,332.0,7.1,1201.0,7.1,1062.0,7.1,119.0
33,tt0858486,6.5,11945.0,6.5,9150.0,6.6,1127.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,517.0,6.0,423.0,6.1,85.0,6.6,6539.0,6.6,5777.0,6.6,718.0,6.6,3089.0,6.6,2755.0,6.8,290.0
34,tt0876563,7.6,148229.0,7.6,73965.0,7.8,31059.0,7.6,106.0,7.6,62.0,7.5,35.0,7.6,19841.0,7.6,11565.0,7.7,7477.0,7.6,66776.0,7.6,46967.0,7.8,18805.0,7.6,14041.0,7.5,11170.0,7.8,2574.0
35,tt1010048,8.0,853175.0,8.0,511006.0,8.1,143922.0,7.9,112.0,8.2,80.0,6.9,24.0,8.0,102550.0,8.0,72914.0,8.2,26780.0,8.0,432160.0,8.0,334988.0,8.1,91702.0,8.0,92452.0,7.9,74345.0,8.1,16438.0
36,tt1043800,6.3,1848.0,6.2,1187.0,6.4,377.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,68.0,6.2,42.0,6.1,24.0,6.3,802.0,6.3,571.0,6.3,219.0,6.2,653.0,6.1,529.0,6.5,116.0
37,tt1043903,7.2,2977.0,7.2,1976.0,7.2,438.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,147.0,7.1,102.0,7.2,42.0,7.1,1248.0,7.1,945.0,7.2,294.0,7.3,951.0,7.4,853.0,7.2,89.0
38,tt1229360,7.6,13260.0,7.5,9833.0,7.9,1333.0,7.0,1.0,7.0,1.0,0.0,0.0,7.7,1074.0,7.7,863.0,8.2,202.0,7.6,6918.0,7.5,6069.0,7.8,774.0,7.5,2960.0,7.4,2600.0,8.0,314.0
39,tt1259574,6.9,13218.0,6.9,9233.0,6.8,1873.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,487.0,6.8,350.0,6.8,128.0,6.9,6052.0,7.0,4957.0,6.7,1010.0,6.9,4413.0,6.9,3660.0,6.9,665.0
40,tt1261843,6.6,1532.0,6.5,1230.0,6.1,51.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,136.0,7.2,132.0,10.0,3.0,6.6,925.0,6.6,892.0,6.0,30.0,5.9,193.0,5.8,172.0,6.0,16.0
41,tt1498858,7.5,2646.0,7.4,1784.0,7.9,411.0,9.0,1.0,0.0,0.0,9.0,1.0,7.5,214.0,7.5,154.0,7.8,52.0,7.6,1428.0,7.5,1181.0,7.9,229.0,7.4,496.0,7.3,385.0,7.9,102.0
42,tt1789810,8.3,2436.0,8.2,1293.0,8.5,781.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,196.0,8.2,124.0,8.3,67.0,8.3,1407.0,8.2,864.0,8.5,523.0,8.0,398.0,7.9,249.0,8.4,139.0
43,tt3355694,7.4,1421.0,7.2,658.0,7.8,130.0,7.6,5.0,8.0,4.0,9.0,1.0,7.5,276.0,7.4,216.0,8.1,51.0,7.2,387.0,7.2,323.0,7.7,57.0,6.7,48.0,6.6,41.0,6.6,6.0
44,tt0309377,6.4,46081.0,6.4,32335.0,6.4,3381.0,6.3,4.0,7.0,3.0,0.0,0.0,6.5,1341.0,6.5,1149.0,6.5,162.0,6.3,18903.0,6.3,17182.0,6.3,1512.0,6.4,14631.0,6.4,12862.0,6.6,1562.0
45,tt0315543,7.5,10542.0,7.5,5970.0,7.5,2376.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,506.0,7.4,298.0,7.3,196.0,7.5,4711.0,7.5,3223.0,7.5,1432.0,7.6,2960.0,7.6,2278.0,7.7,648.0
46,tt0320244,6.2,16605.0,5.9,8394.0,6.9,4495.0,6.3,3.0,6.5,2.0,6.0,1.0,6.5,768.0,6.1,328.0,7.1,406.0,6.2,8731.0,6.0,5471.0,6.9,3135.0,6.0,3145.0,5.8,2333.0,6.6,767.0
47,tt0326429,6.7,7211.0,6.7,4855.0,7.1,639.0,7.0,3.0,7.0,2.0,0.0,0.0,6.6,503.0,6.6,428.0,6.7,67.0,6.6,3160.0,6.6,2738.0,7.0,386.0,7.0,1685.0,6.9,1500.0,7.5,163.0
48,tt0367878,7.3,1356.0,7.3,994.0,7.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,31.0,7.8,24.0,7.0,6.0,7.4,791.0,7.4,718.0,6.9,67.0,7.0,281.0,7.0,241.0,6.9,36.0
49,tt0368909,7.1,75950.0,7.1,58072.0,7.0,3139.0,8.9,6.0,7.0,4.0,8.0,2.0,7.2,4548.0,7.2,4194.0,7.0,263.0,7.2,44458.0,7.2,41995.0,7.1,2080.0,7.0,10569.0,7.0,9726.0,6.9,685.0
50,tt0377184,7.0,1838.0,7.0,768.0,7.1,666.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,56.0,7.1,22.0,6.5,32.0,7.2,697.0,7.0,302.0,7.4,386.0,6.9,637.0,7.0,409.0,6.8,215.0
51,tt0384680,6.6,81422.0,6.6,58008.0,6.3,9001.0,6.3,3.0,8.0,1.0,6.0,1.0,6.6,3256.0,6.6,2656.0,6.3,538.0,6.6,48514.0,6.7,41802.0,6.3,6251.0,6.4,14211.0,6.4,12066.0,6.3,1930.0
52,tt0398982,6.5,2328.0,6.6,1540.0,6.2,391.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,48.0,6.5,36.0,6.2,11.0,6.6,1091.0,6.7,880.0,6.1,204.0,6.4,779.0,6.5,600.0,6.3,171.0
53,tt0402348,7.0,3507.0,6.5,890.0,7.3,1852.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,220.0,6.0,46.0,7.6,170.0,6.9,1411.0,6.5,341.0,7.1,1049.0,6.9,1014.0,6.5,467.0,7.5,530.0
54,tt0414177,6.7,1615.0,6.6,789.0,6.6,195.0,8.2,5.0,8.2,4.0,0.0,0.0,6.8,417.0,6.7,325.0,6.5,78.0,6.5,410.0,6.5,325.0,6.1,77.0,6.4,97.0,6.2,76.0,8.0,20.0
55,tt0414951,6.2,17043.0,6.1,10420.0,6.3,3546.0,10.0,1.0,0.0,0.0,10.0,1.0,6.2,915.0,6.0,512.0,6.5,389.0,6.2,9616.0,6.2,7078.0,6.3,2444.0,6.1,3240.0,6.0,2585.0,6.4,599.0
56,tt0424908,6.7,13855.0,6.7,8392.0,6.8,3025.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,787.0,6.8,451.0,7.0,319.0,6.8,6946.0,6.8,4945.0,6.8,1928.0,6.7,3487.0,6.7,2760.0,6.7,674.0
57,tt0452039,7.7,9946.0,7.7,6659.0,7.7,954.0,8.5,2.0,8.0,1.0,9.0,1.0,7.8,1054.0,7.8,839.0,7.8,185.0,7.8,5324.0,7.8,4636.0,7.7,620.0,7.3,1063.0,7.3,934.0,7.2,105.0
58,tt0467406,7.5,529155.0,7.4,292853.0,7.6,123227.0,7.6,98.0,8.0,53.0,7.1,41.0,7.4,57484.0,7.4,32814.0,7.5,23094.0,7.5,285307.0,7.4,201221.0,7.6,80933.0,7.6,61707.0,7.5,47489.0,7.7,13238.0
59,tt0471571,8.2,13885.0,8.1,8116.0,7.4,382.0,10.0,2.0,10.0,2.0,0.0,0.0,8.6,2774.0,8.6,2664.0,8.3,80.0,7.9,4461.0,8.0,4247.0,7.2,201.0,6.2,280.0,6.1,220.0,6.7,55.0
60,tt0480025,7.7,124225.0,7.7,85329.0,7.8,16302.0,6.8,14.0,8.5,8.0,6.8,4.0,7.8,11939.0,7.8,8969.0,7.9,2727.0,7.7,70869.0,7.7,59110.0,7.8,11043.0,7.5,16483.0,7.5,14257.0,7.6,1958.0
61,tt0480242,6.8,104360.0,6.8,65898.0,6.8,20926.0,6.7,8.0,6.7,6.0,6.5,2.0,6.7,6802.0,6.7,4584.0,6.6,2072.0,6.8,60892.0,6.8,45814.0,6.7,14524.0,6.8,17460.0,6.7,13605.0,7.0,3610.0
62,tt0759952,8.3,1930.0,8.3,1565.0,8.7,141.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,12.0,9.4,10.0,5.5,2.0,8.5,1326.0,8.5,1222.0,8.8,98.0,7.5,371.0,7.3,326.0,8.5,40.0
63,tt0783475,7.4,1802.0,7.4,1256.0,7.6,191.0,8.0,1.0,8.0,1.0,0.0,0.0,7.6,83.0,7.7,65.0,7.4,14.0,7.4,918.0,7.4,799.0,7.7,107.0,7.4,432.0,7.4,363.0,7.4,63.0
64,tt0815181,7.6,1646.0,7.5,1198.0,7.7,127.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,42.0,7.4,37.0,7.3,4.0,7.5,774.0,7.5,704.0,6.8,61.0,7.6,508.0,7.5,442.0,8.5,54.0
65,tt0859760,6.6,1948.0,6.5,1260.0,7.4,375.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,81.0,6.8,49.0,7.4,28.0,6.7,966.0,6.5,716.0,7.5,238.0,6.5,558.0,6.4,459.0,7.1,92.0
66,tt0878674,7.1,3075.0,7.1,2216.0,6.9,308.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,127.0,7.3,108.0,6.6,14.0,7.1,1310.0,7.2,1131.0,6.8,164.0,6.9,1042.0,6.9,909.0,7.0,120.0
67,tt1065332,6.1,1863.0,6.0,1318.0,6.2,257.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,33.0,5.9,24.0,5.9,9.0,6.0,686.0,6.0,530.0,6.0,147.0,6.1,835.0,6.1,730.0,6.4,96.0
68,tt1133936,7.0,1776.0,6.9,867.0,7.2,237.0,7.2,6.0,7.0,2.0,8.5,3.0,7.2,393.0,7.1,297.0,7.4,84.0,6.8,582.0,6.8,455.0,7.1,118.0,6.7,52.0,6.7,44.0,7.0,8.0
69,tt1176963,7.1,1108.0,7.1,773.0,7.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,64.0,7.9,26.0,7.2,38.0,7.1,741.0,7.2,569.0,6.8,169.0,6.7,191.0,6.7,168.0,8.2,20.0
70,tt1330607,6.8,3585.0,6.8,2173.0,6.8,515.0,7.0,1.0,7.0,1.0,0.0,0.0,6.7,265.0,6.7,174.0,6.8,72.0,6.8,1851.0,6.8,1488.0,6.7,341.0,6.9,513.0,6.9,434.0,7.3,72.0
71,tt1360860,7.9,54526.0,7.9,31465.0,7.8,7187.0,8.6,13.0,8.7,9.0,7.5,4.0,8.1,5893.0,8.2,4645.0,7.9,1153.0,7.9,25155.0,8.0,20412.0,7.9,4461.0,7.6,5585.0,7.7,4441.0,7.6,1072.0
72,tt1410261,7.0,4067.0,7.0,2817.0,7.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,304.0,6.8,245.0,6.4,52.0,7.0,2140.0,7.0,1792.0,7.0,303.0,7.0,787.0,7.0,672.0,7.5,89.0
73,tt1504300,7.0,2008.0,7.0,1415.0,7.2,305.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,60.0,7.1,38.0,8.2,21.0,7.0,1106.0,7.0,917.0,7.1,176.0,7.0,528.0,7.0,425.0,7.2,95.0
74,tt1691323,6.2,7035.0,6.2,4414.0,6.3,1391.0,8.0,1.0,0.0,0.0,8.0,1.0,6.4,627.0,6.4,393.0,6.4,221.0,6.2,3666.0,6.2,2650.0,6.3,959.0,6.0,1391.0,6.0,1204.0,5.8,162.0
75,tt1825163,8.0,2267.0,8.0,1621.0,8.2,276.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,137.0,7.9,97.0,7.8,36.0,8.0,1297.0,8.0,1098.0,8.2,181.0,8.0,420.0,8.0,365.0,8.6,46.0
76,tt1872084,6.6,2128.0,6.6,1372.0,6.4,146.0,8.0,1.0,8.0,1.0,0.0,0.0,6.7,532.0,6.7,479.0,6.1,42.0,6.6,819.0,6.6,726.0,6.3,80.0,6.7,74.0,6.8,65.0,6.2,6.0
77,tt0460394,8.0,1508.0,8.0,994.0,7.5,55.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,172.0,8.1,162.0,8.2,8.0,8.0,698.0,8.1,660.0,7.5,32.0,6.1,66.0,6.1,57.0,4.8,9.0
78,tt0287457,7.1,1480.0,7.0,1014.0,7.5,179.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,33.0,6.9,25.0,6.9,7.0,7.1,675.0,7.0,560.0,7.4,108.0,7.0,483.0,6.9,415.0,7.8,62.0
79,tt0290145,6.6,3595.0,6.6,2017.0,6.7,686.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,96.0,6.4,39.0,6.3,54.0,6.5,1277.0,6.5,863.0,6.6,402.0,6.7,1306.0,6.6,1073.0,6.9,212.0
80,tt0298408,6.4,17101.0,6.3,9443.0,6.5,3937.0,8.0,1.0,8.0,1.0,0.0,0.0,6.2,393.0,6.1,241.0,6.3,144.0,6.3,7235.0,6.3,4837.0,6.4,2327.0,6.4,5569.0,6.4,4112.0,6.7,1361.0
81,tt0303830,6.4,2175.0,6.4,1203.0,6.3,434.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,16.0,6.0,6.0,6.6,9.0,6.1,606.0,6.2,401.0,5.9,199.0,6.6,999.0,6.6,774.0,6.6,215.0
82,tt0308379,6.7,33313.0,6.7,20317.0,6.7,5726.0,7.7,3.0,8.0,2.0,7.0,1.0,6.7,2160.0,6.7,1440.0,6.6,658.0,6.6,16893.0,6.7,12831.0,6.6,3840.0,6.7,6555.0,6.7,5400.0,6.8,1040.0
83,tt0325675,7.8,6246.0,7.7,3880.0,7.8,807.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,593.0,7.7,464.0,7.7,118.0,7.8,3307.0,7.8,2724.0,7.9,542.0,7.5,634.0,7.5,519.0,7.5,108.0
84,tt0330760,6.5,1493.0,6.5,909.0,7.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,12.0,6.5,11.0,7.0,1.0,6.5,400.0,6.4,322.0,6.7,71.0,6.5,676.0,6.5,554.0,7.2,106.0
85,tt0337960,6.7,5106.0,6.7,2990.0,7.0,998.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,113.0,6.8,66.0,6.4,43.0,6.7,1831.0,6.6,1290.0,6.9,521.0,6.8,2019.0,6.7,1575.0,7.3,407.0
86,tt0346723,6.5,15862.0,6.4,9872.0,6.6,2003.0,8.0,2.0,8.0,2.0,0.0,0.0,6.8,2384.0,6.8,2007.0,6.9,349.0,6.4,7900.0,6.4,6596.0,6.5,1263.0,6.3,1028.0,6.2,751.0,6.9,269.0
87,tt0365190,6.6,2892.0,6.6,1920.0,6.6,325.0,6.0,1.0,0.0,0.0,6.0,1.0,6.1,39.0,5.9,28.0,6.6,11.0,6.6,903.0,6.6,762.0,6.7,134.0,6.7,1286.0,6.7,1092.0,6.6,171.0
88,tt0365763,6.9,2640.0,6.8,1808.0,7.0,283.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,59.0,7.1,48.0,6.6,10.0,7.0,1328.0,6.9,1135.0,7.0,177.0,6.6,675.0,6.6,580.0,6.8,88.0
89,tt0372937,6.4,3514.0,6.3,2259.0,6.5,543.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,145.0,6.3,101.0,6.1,42.0,6.3,1734.0,6.3,1349.0,6.5,363.0,6.4,875.0,6.4,740.0,6.8,123.0
90,tt0374569,6.8,34223.0,6.8,26450.0,6.8,2495.0,7.0,3.0,8.0,2.0,5.0,1.0,7.1,1735.0,7.1,1560.0,7.0,145.0,6.9,19760.0,6.9,17982.0,6.8,1575.0,6.6,6841.0,6.6,6072.0,6.9,682.0
91,tt0380599,6.8,33393.0,6.8,21255.0,6.9,5407.0,7.6,5.0,6.7,3.0,0.0,0.0,6.8,3635.0,6.8,2487.0,7.0,1059.0,6.8,16136.0,6.8,12676.0,6.9,3299.0,6.9,6265.0,6.9,5364.0,7.0,830.0
92,tt0381442,6.2,2755.0,6.2,1913.0,6.5,323.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,56.0,6.1,46.0,6.2,10.0,6.2,1471.0,6.2,1228.0,6.6,220.0,6.2,701.0,6.2,600.0,6.3,87.0
93,tt0389828,6.4,5039.0,6.3,3583.0,6.5,492.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,176.0,6.5,138.0,6.6,33.0,6.4,2178.0,6.4,1923.0,6.5,231.0,6.2,1700.0,6.2,1457.0,6.6,215.0
94,tt0409860,6.1,1839.0,6.1,1260.0,6.2,139.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,88.0,6.0,72.0,5.4,15.0,6.0,848.0,6.0,746.0,6.2,89.0,6.3,441.0,6.3,400.0,6.3,30.0
95,tt0422934,6.4,1575.0,6.2,774.0,6.7,68.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,245.0,7.0,232.0,6.9,11.0,6.0,495.0,6.0,450.0,6.6,42.0,5.8,38.0,5.5,28.0,6.7,10.0
96,tt0423866,7.9,56179.0,7.9,35285.0,8.2,9209.0,7.7,8.0,7.7,5.0,6.0,2.0,7.9,4231.0,7.9,3130.0,8.0,996.0,8.0,30826.0,7.9,23918.0,8.2,6527.0,7.7,8487.0,7.7,7012.0,8.0,1329.0
97,tt0439289,6.1,22787.0,5.9,12571.0,6.4,6262.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,653.0,6.1,293.0,6.7,350.0,6.1,12351.0,6.0,7785.0,6.5,4435.0,5.9,5689.0,5.9,4267.0,6.3,1338.0
98,tt0441762,6.8,4368.0,6.9,2871.0,6.7,712.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,211.0,6.7,133.0,6.7,75.0,6.8,2423.0,6.9,1903.0,6.7,490.0,6.9,872.0,7.0,741.0,6.5,122.0
99,tt0468094,7.4,11392.0,7.4,8366.0,7.7,1174.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,294.0,7.1,220.0,7.5,67.0,7.5,6386.0,7.5,5544.0,7.6,789.0,7.3,2823.0,7.3,2484.0,7.7,301.0
