,tconst,Winner
79,tt3316960,TRUE
80,tt2980516,TRUE
81,tt2084970,TRUE
82,tt2562232,TRUE
83,tt2278388,TRUE
84,tt1065073,TRUE
85,tt2582802,TRUE
86,tt2294629,TRUE
87,tt1798709,TRUE
88,tt0790636,TRUE
89,tt2024544,TRUE
90,tt2718492,TRUE
91,tt1454468,TRUE
92,tt2334873,TRUE
93,tt2358891,TRUE
94,tt1343092,TRUE
95,tt2396566,TRUE
96,tt1853728,TRUE
97,tt1790885,TRUE
98,tt1707386,TRUE
99,tt1074638,TRUE
100,tt0443272,TRUE
101,tt0454876,TRUE
102,tt1045658,TRUE
103,tt1781769,TRUE
104,tt1024648,TRUE
105,tt1217209,TRUE
106,tt1602620,TRUE
107,tt2125608,TRUE
108,tt1007029,TRUE
109,tt1568346,TRUE
110,tt1204342,TRUE
111,tt0970179,TRUE
112,tt1033575,TRUE
113,tt1454029,TRUE
114,tt1655442,TRUE
115,tt1605783,TRUE
116,tt1860355,TRUE
117,tt1192628,TRUE
118,tt1832382,TRUE
119,tt0964517,TRUE
120,tt1285016,TRUE
121,tt1532503,TRUE
122,tt1504320,TRUE
123,tt0947798,TRUE
124,tt1340107,TRUE
125,tt1375666,TRUE
126,tt0435761,TRUE
127,tt1014759,TRUE
128,tt1645089,TRUE
129,tt0780653,TRUE
130,tt0499549,TRUE
131,tt1263670,TRUE
132,tt0878804,TRUE
133,tt1305806,TRUE
134,tt0361748,TRUE
135,tt1049413,TRUE
136,tt1313104,TRUE
137,tt0796366,TRUE
138,tt0962736,TRUE
139,tt0929632,TRUE
140,tt0421715,TRUE
141,tt0976051,TRUE
142,tt1013753,TRUE
143,tt0887912,TRUE
144,tt0864761,TRUE
145,tt1010048,TRUE
146,tt1069238,TRUE
147,tt0468569,TRUE
148,tt0468569,TRUE
149,tt0910970,TRUE
150,tt0497465,TRUE
151,tt1155592,TRUE
152,tt0408236,TRUE
153,tt0385752,TRUE
154,tt0469494,TRUE
155,tt0414055,TRUE
156,tt0467406,TRUE
157,tt0465538,TRUE
158,tt0783233,TRUE
159,tt0440963,TRUE
160,tt0382932,TRUE
161,tt0477348,TRUE
162,tt0854678,TRUE
163,tt0813547,TRUE
164,tt0450188,TRUE
165,tt0907657,TRUE
166,tt0443489,TRUE
167,tt0366548,TRUE
168,tt0498380,TRUE
169,tt0407887,TRUE
170,tt0436697,TRUE
171,tt0455590,TRUE
172,tt0383574,TRUE
173,tt0457430,TRUE
174,tt0422720,TRUE
175,tt0449467,TRUE
176,tt0405094,TRUE
177,tt0497116,TRUE
178,tt0449059,TRUE
179,tt0363771,TRUE
180,tt0360717,TRUE
181,tt0397535,TRUE
182,tt0365737,TRUE
183,tt0358273,TRUE
184,tt0312004,TRUE
185,tt0388795,TRUE
186,tt0379725,TRUE
187,tt0468565,TRUE
188,tt0387131,TRUE
189,tt0410097,TRUE
190,tt0428803,TRUE
191,tt0339291,TRUE
192,tt0338751,TRUE
193,tt0405159,TRUE
194,tt0317705,TRUE
195,tt0375063,TRUE
196,tt0350258,TRUE
197,tt0375679,TRUE
198,tt0308644,TRUE
199,tt0369702,TRUE
200,tt0316654,TRUE
201,tt0338013,TRUE
202,tt0388789,TRUE
203,tt0318462,TRUE
204,tt0159365,TRUE
205,tt0167260,TRUE
206,tt0340855,TRUE
207,tt0311113,TRUE
208,tt0335266,TRUE
209,tt0327056,TRUE
210,tt0317910,TRUE
211,tt0338135,TRUE
212,tt0266543,TRUE
213,tt0274558,TRUE
214,tt0299658,TRUE
215,tt0167261,TRUE
216,tt0268126,TRUE
217,tt0298203,TRUE
218,tt0120679,TRUE
219,tt0257044,TRUE
220,tt0253474,TRUE
221,tt0310793,TRUE
222,tt0287467,TRUE
223,tt0161860,TRUE
224,tt0265086,TRUE
225,tt0280778,TRUE
226,tt0268978,TRUE
227,tt0120737,TRUE
228,tt0285742,TRUE
229,tt0280707,TRUE
230,tt0198781,TRUE
231,tt0307197,TRUE
232,tt0139654,TRUE
233,tt0245429,TRUE
234,tt0213149,TRUE
235,tt0283509,TRUE
236,tt0203009,TRUE
237,tt0126029,TRUE
238,tt0181865,TRUE
239,tt0170016,TRUE
240,tt0181875,TRUE
241,tt0248912,TRUE
242,tt0183659,TRUE
243,tt0190332,TRUE
244,tt0172495,TRUE
245,tt0141926,TRUE
246,tt0195685,TRUE
247,tt0185014,TRUE
248,tt0172493,TRUE
249,tt0162661,TRUE
250,tt0230591,TRUE
251,tt0169547,TRUE
252,tt0124315,TRUE
253,tt0151568,TRUE
254,tt0171804,TRUE
255,tt0120855,TRUE
256,tt0185125,TRUE
257,tt0133093,TRUE
258,tt0120794,TRUE
259,tt0138097,TRUE
260,tt0174852,TRUE
261,tt0120889,TRUE
262,tt0127536,TRUE
263,tt0120802,TRUE
264,tt0120815,TRUE
265,tt0120684,TRUE
266,tt0118799,TRUE
267,tt0119822,TRUE
268,tt0119217,TRUE
269,tt0120338,TRUE
270,tt0118564,TRUE
271,tt0119164,TRUE
272,tt0119654,TRUE
273,tt0119488,TRUE
274,tt0119561,TRUE
275,tt0119448,TRUE
276,tt0116250,TRUE
277,tt0116695,TRUE
278,tt0116209,TRUE
279,tt0116409,TRUE
280,tt0117666,TRUE
281,tt0117218,TRUE
282,tt0116629,TRUE
283,tt0116191,TRUE
284,tt0116790,TRUE
285,tt0116282,TRUE
286,tt0118147,TRUE
287,tt0117631,TRUE
288,tt0112818,TRUE
289,tt0114272,TRUE
290,tt0114388,TRUE
291,tt0113627,TRUE
292,tt0112379,TRUE
293,tt0113819,TRUE
294,tt0112431,TRUE
295,tt0112384,TRUE
296,tt0114148,TRUE
297,tt0112573,TRUE
298,tt0112373,TRUE
299,tt0114814,TRUE
300,tt0110428,TRUE
301,tt0110322,TRUE
302,tt0110480,TRUE
303,tt0109707,TRUE
304,tt0109348,TRUE
305,tt0110877,TRUE
306,tt0109306,TRUE
307,tt0109830,TRUE
308,tt0110357,TRUE
309,tt0111257,TRUE
310,tt0110912,TRUE
311,tt0111579,TRUE
312,tt0109045,TRUE
313,tt0107818,TRUE
314,tt0108052,TRUE
315,tt0107614,TRUE
316,tt0107177,TRUE
317,tt0106226,TRUE
318,tt0106977,TRUE
319,tt0107290,TRUE
320,tt0107822,TRUE
321,tt0105323,TRUE
322,tt0103791,TRUE
323,tt0103874,TRUE
324,tt0103639,TRUE
325,tt0105265,TRUE
326,tt0104036,TRUE
327,tt0104691,TRUE
328,tt0105695,TRUE
329,tt0105089,TRUE
330,tt0104070,TRUE
331,tt0104507,TRUE
332,tt0104952,TRUE
333,tt0104454,TRUE
334,tt0102138,TRUE
335,tt0101516,TRUE
336,tt0101414,TRUE
337,tt0101889,TRUE
338,tt0102114,TRUE
339,tt0103064,TRUE
340,tt0101587,TRUE
341,tt0103074,TRUE
342,tt0102426,TRUE
343,tt0102926,TRUE
344,tt0100157,TRUE
345,tt0099348,TRUE
346,tt0099028,TRUE
347,tt0100486,TRUE
348,tt0099685,TRUE
349,tt0100470,TRUE
350,tt0099653,TRUE
351,tt0099422,TRUE
352,tt0099334,TRUE
353,tt0099810,TRUE
354,tt0096969,TRUE
355,tt0097441,TRUE
356,tt0097239,TRUE
357,tt0097757,TRUE
358,tt0097099,TRUE
359,tt0097499,TRUE
360,tt0096754,TRUE
361,tt0096895,TRUE
362,tt0097165,TRUE
363,tt0097576,TRUE
364,tt0097937,TRUE
365,tt0094606,TRUE
366,tt0096463,TRUE
367,tt0095953,TRUE
368,tt0094947,TRUE
369,tt0095647,TRUE
370,tt0094608,TRUE
371,tt0095765,TRUE
372,tt0095159,TRUE
373,tt0096438,TRUE
374,tt0095341,TRUE
375,tt0094747,TRUE
376,tt0094721,TRUE
377,tt0095638,TRUE
378,tt0093713,TRUE
379,tt0094291,TRUE
380,tt0093565,TRUE
381,tt0093389,TRUE
382,tt0092890,TRUE
383,tt0093260,TRUE
384,tt0093148,TRUE
385,tt0094226,TRUE
386,tt0092603,TRUE
387,tt0091763,TRUE
388,tt0090863,TRUE
389,tt0090830,TRUE
390,tt0090557,TRUE
391,tt0091064,TRUE
392,tt0090605,TRUE
393,tt0091530,TRUE
394,tt0092099,TRUE
395,tt0090576,TRUE
396,tt0091167,TRUE
397,tt0090203,TRUE
398,tt0091867,TRUE
399,tt0089755,TRUE
400,tt0090319,TRUE
401,tt0088763,TRUE
402,tt0088933,TRUE
403,tt0089841,TRUE
404,tt0089881,TRUE
405,tt0089424,TRUE
406,tt0089276,TRUE
407,tt0089560,TRUE
408,tt0090329,TRUE
409,tt0087892,TRUE
410,tt0087553,TRUE
411,tt0087921,TRUE
412,tt0086879,TRUE
413,tt0088414,TRUE
414,tt0087957,TRUE
415,tt0087469,TRUE
416,tt0087144,TRUE
417,tt0086425,TRUE
418,tt0086619,TRUE
419,tt0086197,TRUE
420,tt0085549,TRUE
421,tt0086423,TRUE
422,tt0083922,TRUE
423,tt0086617,TRUE
424,tt0084707,TRUE
425,tt0084805,TRUE
426,tt0083987,TRUE
427,tt0084434,TRUE
428,tt0083866,TRUE
429,tt0084865,TRUE
430,tt0084874,TRUE
431,tt0084335,TRUE
432,tt0082484,TRUE
433,tt0082979,TRUE
434,tt0082846,TRUE
435,tt0082010,TRUE
436,tt0082031,TRUE
437,tt0082971,TRUE
438,tt0082158,TRUE
439,tt0082736,TRUE
440,tt0081398,TRUE
441,tt0081283,TRUE
442,tt0081150,TRUE
443,tt0080684,TRUE
444,tt0080716,TRUE
445,tt0080549,TRUE
446,tt0079579,TRUE
447,tt0078841,TRUE
448,tt0078754,TRUE
449,tt0079417,TRUE
450,tt0080009,TRUE
451,tt0078902,TRUE
452,tt0078748,TRUE
453,tt0078788,TRUE
454,tt0078875,TRUE
455,tt0079477,TRUE
456,tt0079638,TRUE
457,tt0077289,TRUE
458,tt0077416,TRUE
459,tt0077413,TRUE
460,tt0077405,TRUE
461,tt0077663,TRUE
462,tt0078382,TRUE
463,tt0077928,TRUE
464,tt0077280,TRUE
465,tt0077362,TRUE
466,tt0078122,TRUE
467,tt0076095,TRUE
468,tt0075860,TRUE
469,tt0076348,TRUE
470,tt0076245,TRUE
471,tt0076319,TRUE
472,tt0076941,TRUE
473,tt0076759,TRUE
474,tt0075686,TRUE
475,tt0075265,TRUE
476,tt0074291,TRUE
477,tt0074235,TRUE
478,tt0075148,TRUE
479,tt0074958,TRUE
480,tt0074972,TRUE
481,tt0075005,TRUE
482,tt0074119,TRUE
483,tt0072684,TRUE
484,tt0073486,TRUE
485,tt0073766,TRUE
486,tt0072890,TRUE
487,tt0071411,TRUE
488,tt0073195,TRUE
489,tt0073440,TRUE
490,tt0073692,TRUE
491,tt0072308,TRUE
492,tt0071562,TRUE
493,tt0071115,TRUE
494,tt0071877,TRUE
495,tt0071455,TRUE
496,tt0071598,TRUE
497,tt0071315,TRUE
498,tt0071577,TRUE
499,tt0070047,TRUE
500,tt0070735,TRUE
501,tt0071129,TRUE
502,tt0070903,TRUE
503,tt0070509,TRUE
504,tt0070819,TRUE
505,tt0070460,TRUE
506,tt0070510,TRUE
507,tt0070640,TRUE
508,tt0069467,TRUE
509,tt0069404,TRUE
510,tt0069113,TRUE
511,tt0068361,TRUE
512,tt0068326,TRUE
513,tt0068334,TRUE
514,tt0068646,TRUE
515,tt0068327,TRUE
516,tt0067217,TRUE
517,tt0067483,TRUE
518,tt0067093,TRUE
519,tt0067116,TRUE
520,tt0066817,TRUE
521,tt0067328,TRUE
522,tt0067309,TRUE
523,tt0067741,TRUE
524,tt0067803,TRUE
525,tt0066319,TRUE
526,tt0065377,TRUE
527,tt0066206,TRUE
528,tt0066026,TRUE
529,tt0064117,TRUE
530,tt0065088,TRUE
531,tt0066579,TRUE
532,tt0065126,TRUE
533,tt0064665,TRUE
534,tt0064840,TRUE
535,tt0063227,TRUE
536,tt0063654,TRUE
537,tt0063385,TRUE
538,tt0062794,TRUE
539,tt0063522,TRUE
540,tt0061722,TRUE
541,tt0061735,TRUE
542,tt0061512,TRUE
543,tt0061418,TRUE
544,tt0061811,TRUE
545,tt0060665,TRUE
546,tt0060424,TRUE
547,tt0061184,TRUE
548,tt0059798,TRUE
549,tt0059573,TRUE
550,tt0059084,TRUE
551,tt0059017,TRUE
552,tt0059742,TRUE
553,tt0057831,TRUE
554,tt0058385,TRUE
555,tt0058672,TRUE
556,tt0058331,TRUE
557,tt0057634,TRUE
558,tt0057251,TRUE
559,tt0057590,TRUE
560,tt0057163,TRUE
561,tt0056592,TRUE
562,tt0056172,TRUE
563,tt0056241,TRUE
564,tt0056541,TRUE
565,tt0055031,TRUE
566,tt0055614,TRUE
567,tt0054749,TRUE
568,tt0053622,TRUE
569,tt0054331,TRUE
570,tt0053793,TRUE
571,tt0053604,TRUE
572,tt0052618,TRUE
573,tt0053291,TRUE
574,tt0052738,TRUE
575,tt0053226,TRUE
576,tt0052182,TRUE
577,tt0051758,TRUE
578,tt0051411,TRUE
579,tt0051658,TRUE
580,tt0050933,TRUE
581,tt0050212,TRUE
582,tt0051077,TRUE
583,tt0048947,TRUE
584,tt0048960,TRUE
585,tt0049261,TRUE
586,tt0049966,TRUE
587,tt0049456,TRUE
588,tt0049408,TRUE
589,tt0048563,TRUE
590,tt0048380,TRUE
591,tt0048356,TRUE
592,tt0048028,TRUE
593,tt0046874,TRUE
594,tt0046754,TRUE
595,tt0047296,TRUE
596,tt0046250,TRUE
597,tt0045793,TRUE
598,tt0046359,TRUE
599,tt0044391,TRUE
600,tt0044509,TRUE
601,tt0045061,TRUE
602,tt0044706,TRUE
603,tt0045296,TRUE
604,tt0044672,TRUE
605,tt0043265,TRUE
606,tt0044081,TRUE
607,tt0043278,TRUE
608,tt0043924,TRUE
609,tt0042276,TRUE
610,tt0042546,TRUE
611,tt0042367,TRUE
612,tt0042192,TRUE
613,tt0043014,TRUE
614,tt0041996,TRUE
615,tt0041113,TRUE
616,tt0041452,TRUE
617,tt0041959,TRUE
618,tt0041587,TRUE
619,tt0040495,TRUE
620,tt0040506,TRUE
621,tt0040416,TRUE
622,tt0040897,TRUE
623,tt0039335,TRUE
624,tt0039416,TRUE
625,tt0039628,TRUE
626,tt0039370,TRUE
627,tt0036868,TRUE
628,tt0038873,TRUE
629,tt0039040,TRUE
630,tt0037865,TRUE
631,tt0037536,TRUE
632,tt0038109,TRUE
633,tt0037884,TRUE
634,tt0037913,TRUE
635,tt0037795,TRUE
636,tt0038192,TRUE
637,tt0037514,TRUE
638,tt0038260,TRUE
639,tt0037547,TRUE
640,tt0037988,TRUE
641,tt0038190,TRUE
642,tt0037120,TRUE
643,tt0037135,TRUE
644,tt0036840,TRUE
645,tt0036855,TRUE
646,tt0036872,TRUE
647,tt0037899,TRUE
648,tt0036377,TRUE
649,tt0036515,TRUE
650,tt0035896,TRUE
651,tt0036172,TRUE
652,tt0034583,TRUE
653,tt0035093,TRUE
654,tt0035575,TRUE
655,tt0033774,TRUE
656,tt0034248,TRUE
657,tt0033729,TRUE
658,tt0034167,TRUE
659,tt0033467,TRUE
660,tt0033677,TRUE
661,tt0032671,TRUE
662,tt0032904,TRUE
663,tt0033253,TRUE
664,tt0032976,TRUE
665,tt0032551,TRUE
666,tt0031381,TRUE
667,tt0031385,TRUE
668,tt0031971,TRUE
669,tt0030317,TRUE
670,tt0029942,TRUE
671,tt0030993,TRUE
672,tt0030287,TRUE
673,tt0029047,TRUE
674,tt0028597,TRUE
675,tt0029146,TRUE
676,tt0028691,TRUE
677,tt0028944,TRUE
678,tt0027459,TRUE
679,tt0027300,TRUE
680,tt0027996,TRUE
681,tt0027698,TRUE
682,tt0028313,TRUE
683,tt0026261,TRUE
684,tt0026752,TRUE
685,tt0026529,TRUE
686,tt0025316,TRUE
687,tt0024473,TRUE
688,tt0024353,TRUE
689,tt0023876,TRUE
690,tt0022958,TRUE
691,tt0021730,TRUE
692,tt0022386,TRUE
693,tt0021635,TRUE
694,tt0021885,TRUE
695,tt0022397,TRUE
696,tt0021746,TRUE
697,tt0021148,TRUE
698,tt0020629,TRUE
699,tt0020827,TRUE
700,tt0019823,TRUE
701,tt0019788,TRUE
702,tt0019729,TRUE
703,tt0019824,TRUE
704,tt0020018,TRUE
705,tt0019071,TRUE
706,tt0018455,TRUE
707,tt0018578,TRUE
708,tt0018379,TRUE
